Aegla denticulata denticulata,Aegla denticulata
Acanthephyra eximea,Acanthephyra eximia
Aegla denticulata lacustris,Aegla denticulata
Aegla laevis laevis,Aegla laevis
Aegla laevis talcahuano,Aegla laevis
Aegla schmitti,Aegla schmitii
Aegla uruguyana,Aegla uruguayana
Albunea occultus,Albunea occulta
Astacoides madagascarensis,Astacoides madagascariensis
Axius glyptocercus,Neaxius glyptocercus
Axius vivesi,Neaxius vivesi
Bathymunida ballssi,Bathymunida balssi
Bythiopagurus macroculus,Bythiopagurus macrocolus
Calcinus tibicen,Gilvossius setimanus
Calcinus verrilli,Calcinus verrillii
Callianassa filholi,Biffarius filholi
Callianassa jamaiciense,Lepidophthalmus jamaicense
Callianqssa tyrrhena,Callianassa tyrrhena
Cambarus bartoni,Cambarus bartonii
Cancer japonica,Anatolikos japonicus
Cancer japonicus,Anatolikos japonicus
Cheiroplatea laticauda,Cheiroplatea laticaudata
Clibanarius albidigitatus,Clibanarius albidigitus
Clibanarius merguiensisy,Clibanarius merguiensis
Cliopagurus galzini,Ciliopagurus galzini
Cliopagurus strigatus,Ciliopagurus strigatus
Cliopagurus tricolor,Ciliopagurus tricolor
Cliopagurus vakovako,Ciliopagurus vakovako
Coenobita compressus,Coenobita compressa
Eiconaxius indicus,Eiconaxius indica
Ellasochirus tenulmanus,Elassochirus tenuimanus
Galathea californiensis,Janetogalathea californiensis
Hapalogaster dentatus,Hapalogaster dentata
Hepatus ephileticus,Hepatus epheliticus
Heteronida spinirostris,Heteronida aspinirostris
Jaxea nocnturna,Jaxea nocturna
Jonas distincta,Jonas distinctus
Justitia japonica,Nupalirus japonicus
Latreilla elegans,Latreillia elegans
Laurentiella,Saintlaurentiella
Lepidopa californicus,Lepidopa californica
Lepidopa daemae,Lepidopa deamae
Lithodes aequispina,Lithodes aequispinus
Macropipus puber,Necora puber
Munida caeli n. sp.,Munida caeli
Munida callista,Babamunida callista
Munida lailai n. sp.,Munida lailai
Munida leviantennata,Enriquea leviantennata
Munida longipes,Agononida longipes
Munida mendagnai n. sp.,Munida mendagnai
Munida oblongata n. sp.,Munida oblongata
Munida ofella,Munida offella
Munida rubrodigitalis,Munida rubridigitalis
Munida subrugosa,Munida gregaria
Neopisossoma angustifrons,Neopisosoma angustifrons
Odeignathus inermis,Oedignathus inermis
Pachycheles haigae,Pachycheles laevidactylus
Paguristes calliopsis,Pseudopaguristes calliopsis
Paguristes pilosus,Areopaguristes pilosus
Paguristes wedelli,Paguristes weddellii
Pagurus hirsuticusulus,Pagurus hirsutiusculus
Pagurus mclaughlinae,Pagurus maclaughlinae
Palaemon elegans,Macrobrachium sintangense
Paralithodes camtschatica,Paralithodes camtschaticus
Paramola japonica,Paromola japonica
Paramunida lophia n. sp.,Paramunida lophia
Paramunida salai n. sp.,Paramunida salai
Paramunida thaliae,Paramunida thalie
Petrolisthes galathinus var. 1,Petrolisthes galathinus
Petrolisthes galathinus var. 2,Petrolisthes galathinus
Petrolisthes galathinus var. 3,Petrolisthes galathinus
Petrolisthes galathinus var. 4,Petrolisthes galathinus
Petrolisthes galathinus var. 5,Petrolisthes galathinus
Petrolisthes galathinus var. 6,Petrolisthes galathinus
Petrolisthes galathinus var. 7,Petrolisthes galathinus
Petrolisthes lewisi austrinsus,Petrolisthes lewisi
Petrolisthes magdalensis,Petrolisthes magdalenensis
Philyra pisum,Pyrhila pisum
Plesionida concava n. sp.,Plesionida concava
Polycheles aculeatus,Stereomastis aculeata
Polycheles galil,Stereomastis galil
Polycheles suhmi,Stereomastis suhmi
Procamharus clarkii,Procambarus clarkii
Pylocheles crosnieri,Bathycheles crosnieri
Pylocheles cubensis,Bathycheles cubensis
Pylocheles incisus,Bathycheles incisus
Pylocheles integer,Bathycheles integer
Pylocheles macrops,Xylocheles macrops
Pylocheles miersi,Xylocheles miersi
Pylocheles profundus,Bathycheles integer
Sergio mericeae,Sergio guassutinga
Sicyonia cristata,Sicyonia lancifer
Squillalbunea mariellae,Squillalbunea scutelloides
Trizocheles gracilis,Trizocheles boasi
Trizocheles perplexus,Forestocheles perplexus
Trizocheles spinosus bathamae,Trizocheles spinosus
Trizocheles spinosus spinosus,Trizocheles spinosus
Uroptychus nitida,Uroptychus nitidus
