Authors	Year	Title	Source	Voume	Pages	Characters	Analysis	Possible Overlap

BAKER, A. J., S. L. PEREIRA, AND T. A. PATON	2007	Phylogenetic relationships and divergence times of Charadriiformes genera: multigene evidence for the Cretaceous origin of at least 14 clades of shorebirds	Biology Letters	3	205-209	12S:ND2:cytb:RAG1:	Bayesian	../devel/test_dataset/standard/Baker_etal_2007b/Tree 1/Baker_etal_2007b_corr.xml: 

ALIABADIAN, M., M. KABOLI, R. PRODON, V. NIJMAN, AND M. VENCES	2007	Phylogeny of Palaearctic wheatears (genus Oenanthe) - Congruence between morphometric and molecular data.	Molecular Phylogenetics and Evolution	42	665-675	16S:COI:	Bayesian	../devel/test_dataset/standard/Aliabadian_etal_2007/Tree 1/Aliabadian_etal_2007_1_corr.xml: 

Baker, A. J. and Strauch, J. G. Jr	1988	Genetic variation and differentiation in shorebirds.	Proceedings of the 19th International Ornithological Congress	1	1639-1645	Alleles:	UPGMA	../devel/test_dataset/standard/Baker_Strauch_1988/Tree 1/Baker_Strauch_1988_corr.xml: 

Baptista, L. F. Lawson, R. Visser, E. Bell, D. A.	1999	Relationships of some mannikins and waxbills in the Estrilididae.	Journal fuer Ornithologie	140	179-192	Calls:Breeding:Plumage:	MP	../devel/test_dataset/standard/Baptista_etal_1999/Tree 1/Baptista_etal_1999_corr.xml: 

Allende, L. M., Rubio, I., Ruiz-del-Valle, V., Guillen, J., Martinez-Laso, J., Lowy, E., Varela, P., Zamora, J. and Arnaiz-Villena, A.	2001	The Old World sparrows (genus Passer) phylogeography and their relative abundance of nuclear mtDNA pseudogenes.	Journal of Molecular Evolution	53	144-154	cytb:	UPGMA	../devel/test_dataset/standard/Allende_etal_2001/Allende_etal_2001_1_corr.xml: 
Aragon, S., Moller, A. P., Soler, J. J. and Soler, M.	1999	Molecular phylogeny of cuckoos supports a polyphyletic origin of brood parasitism.	Journal of Evolutionary Biology	12	495-50	cytb:	FITCH	../devel/test_dataset/standard/Aragon_etal_1999/Tree 3/Aragon_etal_1999_3_corr.xml: 
Barhoum, D. N. Burns, K. J.	2002	Phylogenetic relationships of the wrentit based on mitochondrial cytochrome b sequences.	Condor	104	740-749	cytb:	ML	../devel/test_dataset/standard/Barhoum_Burns_2002/Tree 1/Barhoum_Burns_2002_corr.xml: 

Aragon, S., Moller, A. P., Soler, J. J. and Soler, M.	1999	Molecular phylogeny of cuckoos supports a polyphyletic origin of brood parasitism.	Journal of Evolutionary Biology	12	495-50	cytb:ND2:	MP	../devel/test_dataset/standard/Aragon_etal_1999/Aragon_etal_1999_1_corr.xml: 

Aleixo, A.	2002	Molecular systematics and the role of the "Varzea"-"Terra-firme" ecotone in the diversification of Xiphorhynchus woodcreepers (Aves: Dendrocolaptidae).	Auk	119	621-640	cytb:ND2:ND3:	MP	../devel/test_dataset/standard/Aleixo_2002/Aleixo_2002_1_corr.xml: 

BAKER, A., S. L. PEREIRA, D. I. ROGERS, R. ELBOURNE, AND C. J. HASSELL	2007	Mitochondrial-DNA evidence shows the Australian Painted Snipe is a full species, Rostratula australis	Emu	107	185-189	cytb:ND5:ATPase 6:ATPase 8:COIII:COI:	Bayesian	../devel/test_dataset/standard/Baker_etal_2007a/Tree 1/Baker_etal_2007a_corr.xml: 

Andersson, M.	1999	Phylogeny, behaviour, plumage evolution and neoteny in skuas Stercorariidae.	Journal of Avian Biology	30	205-215	Displays:Calls:	MP	../devel/test_dataset/standard/Andersson_1999a/Tree 1/Andersson_1999a_corr.xml: 

BERTELLI, S., N. P. GIANNINI, AND D. T. KSEPKA	2006	Redescription and phylogenetic position of the early Miocene penguin Paraptenodytes antarcticus from Patagonia.	American Museum Novitates	3525	1-25	Molecular:Osteology:soft tissue:behaviour:oology:	MP	../devel/test_dataset/standard/Bertelli_etal_2006/Tree 3/Bertelli_etal_2006_3_corr.xml: 

ALIABADIAN, M., M. KABOLI, R. PRODON, V. NIJMAN, AND M. VENCES	2007	Phylogeny of Palaearctic wheatears (genus Oenanthe) - Congruence between morphometric and molecular data.	Molecular Phylogenetics and Evolution	42	665-675	Morphometrics:	UPGMA	../devel/test_dataset/standard/Aliabadian_etal_2007/Tree 2/Aliabadian_etal_2007_2_corr.xml: 

