Tree File,Spheniscus humboldti,Pygoscelis antarctica,Spheniscus magellanicus,Eudyptes sclateri,Eudyptula minor,Pygoscelis adeliae,Pygoscelis papua,Eudyptes robustus,Eudyptes chrysocome,Aptenodytes forsteri,Eudyptes pachyrhynchus,Stercorarius longicaudus,Eudyptes chrysolophus,Eudyptes schlegeli,Megadyptes antipodes,Catharacta skua,Aptenodytes patagonicus,Spheniscus mendiculus,Spheniscus demersus,Diomedea melanophris,Pterodroma incerta,Pelecanoides urinatrix,Daption capense,Pachyptila desolata,Stercorarius parasiticus,Paraptenodytes antarcticus,Oceanodroma leucorhoa,Procellaria aequinoctialis,Puffinus griseus,Gavia stellata,Phoebetria palpebrata,Oceanites oceanicus,Stercorarius pomarinus,Macronectes giganteus,Luscinia luscinia,Gallus gallus,Cacomantis flabelliformis,Oenanthe deserti,Geococcyx californianus,Cuculus canorus,Nycticryphes semicollaris,Catharacta antarctica,Guira guira,Surniculus lugubris,Lonchura cucullata,Chrysococcyx osculans,Catharacta maccormicki,Pluvialis squatarola,Oenanthe oenanthe,Piaya cayana,Catharacta chilensis,Oenanthe lugens,Oenanthe pleschanka,Oenanthe isabellina,Neomorphus geoffroyi,Larus argentatus,Oenanthe picata,Oenanthe leucopyga,Phaenicophaeus superciliosus,Oenanthe finschii,Clamator jacobinus,Jacana jacana,Oenanthe xanthoprymna,Clamator glandarius,Cercococcyx montanus,Cuculus poliocephalus,Luscinia megarhynchos,Oenanthe moesta,Dromococcyx phasianellus,Rostratula benghalensis,Catoptrophorus semipalmatus,Charadrius vociferus,Oenanthe alboniger,Calidris canutus,Tapera naevia,Anthus spinoletta,Ortygospiza atricollis,Sterna fuscata,Gygis alba,Catharacta hamiltoni,Xiphorhynchus spixii,Cisticola cherina,Melospiza melodia,Dendrexetastes rufigula,Cinclocerthia ruficauda,Lonchura fringilloides,Actophilornis africanus,Xiphorhynchus guttatus,Crotophaga sulcirostris,Xiphocolaptes promeropirhynchus,Passer luteus,Oenanthe hispanica,Cursorius temminckii,Phaetusa simplex,Muscicapa striata,Sterna sandvicensis,Campylorhamphus procurvoides,Passer domesticus,Cepphus columba,Corvus coronoides,Xiphorhynchus triangularis,Sylvia melanocephala,Catharus guttatus,Pterocles orientalis,Dumetella carolinensis,Lonchura griseicapilla,Mimus gilvus,Haematopus ater,Margarops fuscus,Chionis minor,Eudromias morinellus,Anous tenuirostris,Cladorhynchus leucocephalus,Oreopholus ruficollis,Neomixis flavoviridis,Esacus magnirostris,Turnix hottentotta,Hydrophasianus chirurgus,Passer melanurus,Xiphorhynchus obsoletus,Struthio,Toxostoma rufum,Pachyornis elephantopus,Spizella passerina,Thinocorus rumicivorus,Leiothrix lutea,Brachyramphus brevirostris,Sterna superciliaris,Tringa cinereus,Catharacta lonnbergi,Lymnocryptes minimus,Chlidonias leucopterus,Chondestes grammacus,Copsychus albospecularis,Caprimulgus longirostris,Lepidocolaptes angustirostris,Sterna hirundo,Mimus saturninus,Pedionomus torquatus,Dendrocolaptes certhia,Neomixis striatigula,Calidris minutilla,Neomixis tenella,Campylorhamphus trochilirostris,Numenius minutus,Margarops fuscatus,Acrocephalus stentoreus,Fratercula arctica,Glyphorynchus spirurus,Cinclocerthia gutturalis,Lonchura castaneothorax,Pachyornis australis,Sittasomus griseicapillus,Xiphorhynchus flavigaster,Eudyptula albosignata,Poephila cincta,Xema sabini,Lonchura striata,Thinornis novaeseelandiae,Turnix sylvatica,Terpsiphone cinnamomea,Alle alle,Cuculus pallidus,Locustella fluviatilis,Passer montanus,Oreoscoptes montanus,Xiphorhynchus lachrymosus,Coccyzus americanus,Aphelocoma coerulescens,Megalapteryx benhami,Erithacus rubecula,Hippolais polyglotta,Taeniopygia guttata,Vanellus chilensis,Stachyris whiteheadi,Larus marinus,Lonchura quinticolor,Thamnornis chloropetoides,Lonchura bicolor,Pagophila eburnea,Quelea cardinalis,Chloropeta gracilirostris,Glareola maldivarum,Pterocles namaqua,Motacilla alba,Stiltia isabella,Hydroprogne caspia,Larosterna inca,Nasica longirostris,Himantopus mexicanus,Charadrius falklandicus,Petronia petronia,Lepidocolaptes albolineatus,Irediparra gallinacea,Sterna anaethetus,Crax blumenbachii,Heteroscelus incanus,Dinornis giganteus,Ibidorhyncha struthersii,Actitis hypoleucos,Amadina fasciata,Pomatostomus isidorei,Bartramia longicauda,Elseyornis melanops,Lonchura maja,Passer griseus,Pachyornis mappini,Corvus corax,Gallinago gallinago,Creagrus furcatus,Passer ammodendri,Fringilla coelebs,Uraeginthus bengalus,Rhinoptilus chalcopterus,Uraeginthus cyanocephalus,Gallus,Chauna torquata,Xiphorhynchus picus,Alca torda,Limosa haemastica,Pomatorhinus ochraceiceps,Mimus polyglottos,Xiphorhynchus ocellatus,Anser albifrons,Lonchura punctulata,Coenocorypha aucklandica,Miliaria calandra,Anomalopteryx didiformis,Megapodius,Mimus gundlachii,Pluvialis dominica,Campylorhamphus falcularius,Toxostoma curvirostre,Sylvia atricapilla,Pomatostomus ruficeps,Sturnus vulgaris,Lepidocolaptes fuscus,Chamaea fasciata,Peltohyas australis,Megalapteryx didinus,Anhima cornuta,Calidris ferruginea,Ficedula parva,Sylvia borin,Recurvirostra americana,Rynchops niger,Phylloscopus trochiloides,Calidris himantopus,Lonchura spectabilis,Charadrius montanus,Synthliboramphus antiquus,Scolopax minor,Hylexetastes perrotii,Vidua chalybeata,Illadopsis pyrrhoptera,Emeus crassus,Microparra capensis,Attagis gayi,Rostratula australis,Pluvianus aegyptius,Ptychoramphus aleuticus,Padda fuscata,Lonchura leucogastroides,Pytilia melba,Rhodostethia rosea,Cisticola juncidis,Philomachus pugnax,Calidris alpina,Gavia immer,Gelochelidon nilotica,Euryapteryx geranoides,Burhinus vermiculatus,Pluvianellus socialis,Yuhina gularis,Turdus migratorius,Lonchura cantans,Struthio camelus,Larus,Mimodes graysoni,Cerorhinca monocerata,Locustella certhiola,Anarhynchus frontalis,Scotocerca inquieta,Orthotomus sutorius,Toxostoma redivivum,Pinguinus impennis,Phegornis mitchellii,Passer hispaniolensis,Diomedea exulans,Passer rutilans,Uria lomvia,Aphriza virgata,Melanotis caerulescens,Regulus regulus,Aethia psittacula,Taeniopygia bichenovii,Xiphorhynchus kienerii,Calidris ruficollis,Anas,Xiphorhynchus erythropygius,Hypergerus atriceps,Cettia cetti,Rissa tridactyla,Tryngites subruficollis,Columba livia,Phylloscopus collybita,Passerella iliaca,Xenus cinereus,Melanoptila glabrirostris,Xiphorhynchus susurrans,Charadrius semipalmatus,Phylloscopus pulcher,Calidris fuscicollis,Piranga ludoviciana,Passer flaveolus,Tringa melanoleuca,Lophorina superba,Glareola nuchalis,Eurynorhynchus pygmeus,Garrulax leucolophus,Calidris maritima,Limnodromus griseus,Ramphocinclus brachyurus,Limnodromus scolopaceus,Arenaria interpres,Erythrogonys cinctus,Bradypterus cinnamomeus,Aethia cristatella,Phalaropus tricolor,Coccyzus erythropthalmus,Xiphorhynchus pardalotus,Phaenicophaeus curvirostris,Dinornis novaezealandiae,Limicola falcinellus,Calidris mauri
../devel/test_dataset/standard/Baker_etal_2007b/Tree 1/Baker_etal_2007b_corr.tre,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0
../devel/test_dataset/standard/Barhoum_Burns_2002/Tree 1/Barhoum_Burns_2002_corr.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
../devel/test_dataset/standard/Bertelli_etal_2006/Tree 2/Bertelli_etal_2006_2_corr.tre,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
../devel/test_dataset/standard/Bertelli_etal_2006/Tree 1/Bertelli_etal_2006_1_corr.tre,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
../devel/test_dataset/standard/Bertelli_etal_2006/Tree 3/Bertelli_etal_2006_3_corr.tre,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
../devel/test_dataset/standard/Aleixo_2002/Aleixo2002com.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
../devel/test_dataset/standard/Baker_etal_2006/Tree 1/Baker_etal_2006_corr.tre,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
../devel/test_dataset/standard/Aragon_etal_1999/Tree 3/Aragon_etal_1999_3_corr.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
../devel/test_dataset/standard/Baptista_etal_1999/Tree 1/Baptista_etal_1999_corr.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
../devel/test_dataset/standard/Barber_etal_2004/Tree 1/Barber_etal_2004_corr.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
