accepted_name,early_interval,,late_interval,,FAD1,FAD2,LAD1,LAD2,,superinfraclass,infraclass,subclass,superorder,order,suborder,infraorder,parvorder,superfamily,subsuperfamilu,family,suprasubfamily,subfamily,tribe,genus,,
Aenigmys_diamantensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,Caviomorpha,,,Chinchilloidea,DinomyidaeAenigmys,,,,,Aenigmys,https://www.sciencedirect.com/science/article/abs/pii/S0895981105001306,
Agalmaceros_blicki,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Rangiferini,Agalmaceros,,
Ahytherium_aureum,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,,,Pilosa,Folivora,,,Megatheroidea,,Megalonychidae,,Megalonychinae,,Ahytherium,,
Alouatta mauroi,Late Pleistocene,Holocene,Late Pleistocene,Holocene,0.126,0,0.126,0,NOT OK,,,,,Primates,,,,,,Atelidae,,Alouattinae,,Alouatta,,
Anancus_defloccatus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Proboscidea,,,Elephantida,Elephantoidea,,Anancidae,,,,Anancus,,
Anancus_orarius,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Proboscidea,,,Elephantida,Elephantoidea,,Anancidae,,,,Anancus,,
Antifer niemeyeri,Late Pleistocene,Late Pleistocene,Late Pleistocene,Holocene,0.126,0.0117,0.126,0,NOT OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Rangiferini,Antifer,,
Antifer_ultra,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Rangiferini,Antifer,,
Arctodus_pristinus,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Carnivora,,,,,,Ursidae,,Tremarctinae,,Arctodus,,
Arctotherium brasiliense,Pleistocene,Pleistocene,Holocene,Holocene,2.58,0.0117,0.0117,0,OK,,,,,Carnivora,,,,,,Ursidae,,Tremarctinae,,Arctotherium,,
Arctotherium wingei,Early Pleistocene,Early Pleistocene,Late Pleistocene,Holocene,2.58,1.8,0.126,0,NOT OK,,,,,Carnivora,,,,,,Ursidae,,Tremarctinae,,Arctotherium,,
Atopomys_texensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,Arvicolinae,Arvicolini,Atopomys,,
Australonyx_aquae,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,,,Pilosa,Folivora,,,Megatheroidea,,Megalonychidae,,Megalonychinae,,Australonyx,,
Aztlanolagus_agilis,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Lagomorpha,,,,,,Leporidae,,Palaeolaginae,Dasyporcina,Aztlanolagus,,
Bison antiquus,Pleistocene,Pleistocene,Holocene,Holocene,2.58,0.0117,0.0117,0,OK,,,,,,,,,,,Bovidae,,Bovinae,,,,
Bison_alaskensis,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Bovidae,,Bovinae,,,,
Bison_latifrons,Late Pliocene,Late Pliocene,Pleistocene,Pleistocene,3.6,2.58,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Bovidae,,Bovinae,,,,
Bison_priscus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Bovidae,,Bovinae,,,,
Bootherium bombifrons,Early Pleistocene,Early Pleistocene,Late Pleistocene,Holocene,2.58,1.8,0.126,0,NOT OK,,,,,Artiodactyla,,,,,,Bovidae,,Caprinae,Ovibovini,Ovibos,,
Brachyprotoma obtusata,Irvingtonian,Irvingtonian,Late Pleistocene,Holocene,1.4,0.21,0.126,0,NOT OK,,,,,Carnivora,,,,,,Mephitidae,,,,Brachyprotoma,,
Brasiliochoerus_stenocephalus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Tayassuidae,,,,Brasiliochoerus,,
Camelops hesternus,Blancan,Blancan,Late Pleistocene,Holocene,4.7,1.4,0.126,0,NOT OK,,,,,Artiodactyla,,,,,,Camelidae,,,Camelini,Camelops,,
Camelops_minidokae,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Camelidae,,,Camelini,Camelops,,
Canis_armbrusteri,Blancan,Irvingtonian,Late Pleistocene,Late Pleistocene,4.7,0.21,0.126,0.0117,NOT OK,,,,,Carnivora,,,,,,Canidae,,,,Canis,,
Canis_dirus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Carnivora,,,,,,Canidae,,,,Canis,,
Canis_indianensis,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Carnivora,,,,,,Canidae,,,,Canis,,
Canis_lepophagus,Late Hemphillian,Late Hemphillian,Late Pleistocene,Late Pleistocene,9.4,4.7,0.126,0.0117,OK,,,,,Carnivora,,,,,,Canidae,,,,Canis,,
Canis_lycaonoides,Irvingtonian,Irvingtonian,Middle Pleistocene,Middle Pleistocene,1.4,0.21,0.773,0.126,OK,,,,,Carnivora,,,,,,Canidae,,,,Canis,,
Capromeryx_furcifer,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Antilocapridae,,Antilocaprinae,Stockoceratini,Capromeryx,,
Capromeryx_minor,Irvingtonian,Rancholabrean,Late Pleistocene,Late Pleistocene,1.4,0.014,0.126,0.0117,NOT OK,,,,,Artiodactyla,,,,,,Antilocapridae,,Antilocaprinae,Stockoceratini,Capromeryx,,
Castoroides_leiseyorum,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Castoridae,,Castoroidinae,,Castoroides,,
Castoroides_ohioensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Castoridae,,Castoroidinae,,Castoroides,,
Catagonus_stenocephalus,Ensenadan,Ensenadan,Late Pleistocene,Late Pleistocene,2,0.78,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Tayassuidae,,,,Catagonus,,
Catonyx cuvieri,Pleistocene,Pleistocene,Pleistocene,Holocene,2.58,0.0117,2.58,0,NOT OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Catonyx,,
Cebus nigrivittatus,Holocene,Holocene,Holocene,Holocene,0.0117,0,0.0117,0,OK,,,,,Primates,,,,,,Cebidae,,,,Cebus,,
Cervalces scotti,Pleistocene,Pleistocene,Late Pleistocene,Holocene,2.58,0.0117,0.126,0,NOT OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Capreolini,Cervalces,,
Cervalces_latifrons,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Capreolini,Cervalces,,
Cervus canadensis,Pleistocene,Pleistocene,Holocene,Holocene,2.58,0.0117,0.0117,0,OK,,,,,Artiodactyla,,,,,,Cervidae,,Cervinae,Cervini,Cervus,,
