OTU,species,subgenus,genus,tribe,subfamily,suprasubfamily,family,subsuperfamily,superfamily,subsection,section,parvorder,infraorder,suborder,order,superorder,subclass,infraclass,superinfraclass,class,superclass,subphylum,phylum,superphylum,infrakingdom,subkingdom,kingdom,Provider
Abrawayaomys_chebezi,Abrawayaomys_chebezi,-,Abrawayaomys,-,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrawayaomys_ruschii,Abrawayaomys_ruschii,-,Abrawayaomys,-,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_bennettii,Abrocoma_bennettii,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_boliviensis,Abrocoma_boliviensis,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_budini,Abrocoma_budini,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_cinerea,Abrocoma_cinerea,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_famatina,Abrocoma_famatina,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_shistacea,Abrocoma_shistacea,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_uspallata,Abrocoma_uspallata,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_vaccarum,Abrocoma_vaccarum,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrothrix_andinus,Abrothrix_andinus,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrothrix_illuteus,Abrothrix_illuteus,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrothrix_jelskii,Abrothrix_jelskii,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrothrix_lanosus,Abrothrix_lanosus,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
